name,phone,cpf,sexo,state,city
Augusto Dias,(041) 4955-5356,296.851.370-21,F,('SC', 'Santa Catarina'),Barbosa de Novaes
Isadora Melo,+55 84 7602 1091,624.750.381-44,M,('RR', 'Roraima'),Cardoso
Srta. Marcela Fernandes,+55 (051) 2751-0516,849.125.730-60,F,('SC', 'Santa Catarina'),Barbosa do Amparo
Cauã Viana,+55 (011) 1438-9943,425.361.097-80,F,('RN', 'Rio Grande do Norte'),da Cunha Alegre
Sra. Camila Cardoso,+55 (061) 2434 7123,847.593.126-09,F,('AL', 'Alagoas'),Nunes
Yuri Castro,+55 (051) 2768 1713,895.074.312-41,M,('TO', 'Tocantins'),Carvalho Grande
Cecília da Rosa,51 2708 8995,196.570.482-49,F,('RR', 'Roraima'),Azevedo
Sr. Calebe Oliveira,(061) 0437 8091,496.572.180-20,M,('PE', 'Pernambuco'),Pires
Ana Sophia Castro,71 2037 5968,378.961.250-21,F,('SP', 'São Paulo'),Ferreira dos Dourados
Maria Clara Gonçalves,(021) 7838 2330,812.954.670-11,F,('TO', 'Tocantins'),Cardoso
Evelyn Moraes,+55 (081) 9594-7825,361.547.028-17,F,('DF', 'Distrito Federal'),Nogueira
João Felipe da Cunha,+55 31 5424 8583,023.681.759-03,F,('RR', 'Roraima'),Oliveira
Valentina Moreira,31 5581-2206,517.302.689-86,F,('PR', 'Paraná'),da Mata
Alice Cardoso,51 9478 3675,206.159.748-30,M,('SC', 'Santa Catarina'),Duarte do Norte
Yago Mendes,+55 (031) 4662-1317,963.012.457-25,M,('BA', 'Bahia'),Nascimento
Maitê Pinto,+55 (051) 1293-3850,857.230.469-00,F,('SC', 'Santa Catarina'),Nunes do Campo
Pedro Lucas Rezende,+55 (071) 1923-4039,148.075.296-76,F,('AL', 'Alagoas'),Fogaça Verde
Maria Cecília Fernandes,+55 (061) 8767-7708,026.891.435-42,M,('RO', 'Rondônia'),Barbosa
Sr. Danilo Almeida,+55 71 8944 0219,321.589.467-09,F,('AP', 'Amapá'),Costa de Alves
Davi Lucca Cardoso,+55 84 9291 1138,947.253.186-55,M,('PA', 'Pará'),da Luz
Alícia da Mota,+55 61 8976-3144,576.234.809-10,F,('PI', 'Piauí'),da Rosa
João Felipe Farias,(031) 2488 3406,352.179.048-79,M,('DF', 'Distrito Federal'),Farias das Flores
Srta. Isabella Caldeira,(051) 3533-4515,954.806.723-47,F,('GO', 'Goiás'),Pires das Pedras
Pietro Rocha,(051) 7800 9990,210.763.549-80,F,('AL', 'Alagoas'),Cunha de Castro
Maria Cecília Ribeiro,+55 31 8477 9178,184.620.793-22,M,('PI', 'Piauí'),Campos
Diogo Novaes,+55 (071) 3517-6705,106.435.927-25,M,('RJ', 'Rio de Janeiro'),Rodrigues da Serra
Raul Novaes,+55 31 3328-7255,413.259.807-14,F,('RO', 'Rondônia'),Barros do Galho
André Costela,+55 51 7066 7830,297.543.086-83,F,('PR', 'Paraná'),Barbosa de Minas
Francisco Almeida,51 5686 9813,846.752.913-09,M,('AP', 'Amapá'),Silveira dos Dourados
Olivia Peixoto,+55 (084) 7039-0634,875.431.269-82,M,('PA', 'Pará'),Rocha
Eloah Azevedo,+55 (011) 4523-9706,742.635.980-83,M,('ES', 'Espírito Santo'),Ribeiro Grande
Juan da Rocha,+55 31 0882 3216,031.596.872-95,M,('PB', 'Paraíba'),Oliveira de Oliveira
Yago Gonçalves,0900-747-8515,268.419.053-42,F,('ES', 'Espírito Santo'),da Luz de Mendes
Bruno Moraes,+55 (041) 9081 3678,908.264.735-47,F,('BA', 'Bahia'),Sales de Nunes
Dr. Heitor Oliveira,+55 (071) 8791 3912,285.976.401-11,F,('ES', 'Espírito Santo'),da Cunha
Vicente Fogaça,+55 (031) 0015-1078,436.257.018-71,M,('PE', 'Pernambuco'),Castro da Praia
Erick Moura,0300-856-0509,843.079.162-04,F,('GO', 'Goiás'),da Mata do Campo
Dr. Benjamin Castro,+55 (031) 8050-2221,719.304.526-16,F,('ES', 'Espírito Santo'),da Costa Grande
Luigi Duarte,0800 191 8954,804.296.135-98,M,('TO', 'Tocantins'),Barbosa
Ana Sophia Barbosa,41 6880-5004,701.869.423-03,F,('RO', 'Rondônia'),Monteiro
Ana Vitória Teixeira,51 4034 1067,908.341.765-48,M,('MA', 'Maranhão'),da Rocha das Pedras
Rafaela da Luz,84 3585 6979,273.619.408-03,M,('RJ', 'Rio de Janeiro'),Viana
Olivia Barbosa,(041) 1971-6444,042.516.389-05,M,('PA', 'Pará'),Carvalho
Sra. Kamilly Campos,+55 11 8062-6463,185.740.269-30,M,('MS', 'Mato Grosso do Sul'),Correia
Pedro Henrique Martins,41 3206-3931,309.471.658-00,M,('AC', 'Acre'),Campos
Srta. Evelyn Castro,(031) 4688 6126,305.716.489-75,M,('MA', 'Maranhão'),da Costa
Leonardo Oliveira,(071) 3129 4504,248.091.763-04,M,('BA', 'Bahia'),Azevedo
Otávio Oliveira,+55 71 9129-4370,038.124.956-51,F,('MA', 'Maranhão'),da Paz de Carvalho
Stephany Silveira,(021) 3006-1326,074.539.826-00,M,('TO', 'Tocantins'),Fernandes
Bianca Pereira,+55 31 5542 1679,203.491.785-50,M,('GO', 'Goiás'),Vieira dos Dourados
Sr. Luiz Henrique Cardoso,(021) 1477-4392,249.751.638-37,M,('PE', 'Pernambuco'),da Paz de Santos
Maria Luiza Barros,51 9159 0499,280.564.179-58,M,('PB', 'Paraíba'),Viana da Mata
Vinicius Costela,+55 11 5450 8091,167.509.428-49,F,('GO', 'Goiás'),da Conceição
Ana Luiza Cunha,61 4449-8036,394.520.761-43,M,('CE', 'Ceará'),Oliveira
Brenda da Conceição,(051) 7307 3371,048.251.376-44,F,('AC', 'Acre'),Vieira
Rodrigo Pereira,(011) 0337-8073,230.194.567-70,F,('RS', 'Rio Grande do Sul'),Pereira Verde
Enrico Freitas,+55 61 4523 0925,390.762.451-34,F,('GO', 'Goiás'),Rodrigues Paulista
Calebe Pires,+55 (084) 8572 1910,472.193.805-50,M,('DF', 'Distrito Federal'),Cunha de da Rocha
Dr. Thiago Cardoso,51 9272 6165,350.781.692-02,F,('SC', 'Santa Catarina'),Barros da Mata
Carolina Carvalho,84 0777-6284,629.851.073-77,F,('RS', 'Rio Grande do Sul'),Moraes
Eduardo Rodrigues,21 5559 5188,473.582.061-26,F,('PE', 'Pernambuco'),Fogaça dos Dourados
Camila Souza,(061) 6637-8723,652.893.147-09,M,('CE', 'Ceará'),Gomes
Thales Jesus,+55 (081) 3158-3053,087.123.569-21,F,('MS', 'Mato Grosso do Sul'),Martins
Brenda Fogaça,(041) 4020-9535,179.425.630-06,M,('PE', 'Pernambuco'),da Paz de Almeida
Ana Vitória Azevedo,0500 270 8903,485.321.697-91,F,('ES', 'Espírito Santo'),Castro do Oeste
Sra. Isabella Fernandes,0800 033 7025,359.071.842-05,F,('AC', 'Acre'),da Rocha do Galho
Dra. Laís Mendes,31 6225-6142,674.825.193-19,F,('MT', 'Mato Grosso'),da Paz
Erick Monteiro,+55 84 4860-6380,425.371.890-60,M,('RS', 'Rio Grande do Sul'),Silveira do Campo
Daniel Ramos,51 4346 8876,674.210.893-22,M,('PE', 'Pernambuco'),da Luz
Maitê da Cunha,+55 51 4093 9563,039.268.475-65,M,('MS', 'Mato Grosso do Sul'),Viana da Prata
Helena Ferreira,(031) 2601-3400,837.562.401-26,F,('CE', 'Ceará'),Costa
Vinicius Aragão,+55 (031) 7657-9870,320.958.614-42,M,('PE', 'Pernambuco'),Castro da Prata
Sr. Theo Costela,51 4407 5441,274.513.068-44,F,('DF', 'Distrito Federal'),Ferreira
Davi Nascimento,+55 (021) 3669 9503,541.987.036-39,M,('TO', 'Tocantins'),Martins de Silva
Emanuella Rezende,0900 123 0719,407.861.925-85,F,('SP', 'São Paulo'),Fogaça
Pedro Lucas Cardoso,(021) 8580-2382,853.047.219-50,F,('ES', 'Espírito Santo'),Melo Alegre
Thiago da Conceição,(011) 1321-0119,347.529.860-00,F,('ES', 'Espírito Santo'),Rezende
Matheus da Cunha,+55 51 9920 6703,267.354.891-28,M,('SE', 'Sergipe'),da Paz
Emanuel Nascimento,+55 (071) 2620 5107,290.475.831-32,M,('DF', 'Distrito Federal'),Oliveira
Maysa da Mata,+55 11 3336-0884,068.721.439-40,F,('AM', 'Amazonas'),da Paz
Maysa da Rocha,+55 51 3880 9115,312.850.647-71,F,('RO', 'Rondônia'),Gomes
Isadora Costela,(051) 2708 6982,028.431.697-04,M,('RS', 'Rio Grande do Sul'),Campos
Srta. Heloísa Correia,+55 51 0651 9613,214.730.589-88,F,('SC', 'Santa Catarina'),Costa de Goiás
Sofia Ferreira,(071) 2943-6294,695.371.024-16,F,('BA', 'Bahia'),Lima
Laís Costa,(071) 9771-1437,956.137.820-59,F,('SP', 'São Paulo'),Ribeiro do Norte
